year,series,real_value_added_millions,hours_millions,real_value_added_per_hour,real_output_per_hour_thousands_1982_dollars,index_first_year_100,source_note
1947,Measurable sectors,362883.0695023117,58818.92562800001,6.169495032897469,0.006169495032897469,100.0,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1947,Unmeasurable sectors,606379.8352801704,50428.628861000005,12.02451561694406,0.01202451561694406,100.0,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1947,Total economy,969262.9047824822,109247.55448900002,8.872170267940193,0.008872170267940193,100.0,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1948,Measurable sectors,407640.14726477285,59192.97335900002,6.8866306950399725,0.006886630695039972,111.62389560763945,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1948,Unmeasurable sectors,608409.7156802478,51590.707887,11.793009644544089,0.011793009644544088,98.07471685534051,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1948,Total economy,1.0160498629450207e6,110783.68124600002,9.171475902564001,0.009171475902564001,103.37353348261762,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1949,Measurable sectors,378308.65740489576,55613.786894,6.802425774852428,0.006802425774852428,110.25903641351513,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1949,Unmeasurable sectors,614788.4333057118,52031.073883,11.815793667610238,0.011815793667610238,98.26419661312839,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1949,Total economy,993097.0907106076,107644.860777,9.225680478773013,0.009225680478773013,103.98448406823567,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1950,Measurable sectors,421142.13098018273,56827.357223,7.4109047395526595,0.00741090473955266,120.1217393001477,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1950,Unmeasurable sectors,640989.2634313134,53420.089401,11.999030151741275,0.011999030151741275,99.78805412197333,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1950,Total economy,1.0621313944114961e6,110247.446624,9.634067971060642,0.009634067971060641,108.58750091703699,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1951,Measurable sectors,455244.54974548466,58132.205077,7.831193555146975,0.007831193555146975,126.93410908654381,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1951,Unmeasurable sectors,699090.0325483318,58514.832366999995,11.947227809928588,0.011947227809928587,99.35724806322708,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1951,Total economy,1.1543345822938164e6,116647.03744399999,9.895961419920248,0.009895961419920248,111.5393541947628,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1952,Measurable sectors,470476.9742554416,57576.682432,8.171310926278025,0.008171310926278026,132.44699740750767,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1952,Unmeasurable sectors,729308.7938502579,59919.877135,12.171400021517382,0.012171400021517382,101.22154113523162,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1952,Total economy,1.1997857681056994e6,117496.559567,10.211241695307224,0.010211241695307224,115.09294103840409,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1953,Measurable sectors,509705.47893886786,57548.338135,8.856997360083158,0.008856997360083158,143.56113932915378,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1953,Unmeasurable sectors,752615.3409800243,59906.839507,12.563095419047814,0.012563095419047814,104.47901453381479,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
