industry,sector_group,tfp_start_year,tfp_end_year,rd_intensity_year,tfp_growth_annualized_percent,rd_capital_compensation_to_gross_output,rd_capital_compensation_to_value_added,rd_capital_compensation_millions,gross_output_millions,value_added_millions,tfp_start_index,tfp_end_index
Accommodation,Nonmanufacturing,1997,2024,2010,0.6537752570602402,0.0016716108678250224,0.0029471892738914315,284.0,169896.0,96363.0,93.309,111.323
Administrative and support services,Nonmanufacturing,1997,2024,2010,0.46378560529589,0.0,0.0,0.0,585662.0,386157.0,93.763,106.271
Air transportation,Nonmanufacturing,1997,2024,2010,0.7297603626945072,0.00199335108144263,0.004192901320554968,301.0,151002.0,71788.0,86.029,104.765
Ambulatory health care services,Nonmanufacturing,1997,2024,2010,0.6116776845468606,0.0030525350125392005,0.004612191704458138,2449.0,802284.0,530984.0,90.843,107.156
"Amusements, gambling, and recreation industries",Nonmanufacturing,1997,2024,2010,-0.3705365988582193,0.0012719889195631896,0.00229490361404821,135.0,106133.0,58826.0,107.78,97.519
Apparel and leather and allied products,Manufacturing,1997,2024,2010,1.2928629321910667,0.003740487553205211,0.00838392599017057,87.0,23259.0,10377.0,89.395,126.74
Broadcasting and telecommunications,Nonmanufacturing,1997,2024,2010,0.7808102833936177,0.009872778169735315,0.01873833713456355,6507.0,659085.0,347256.0,78.977,97.512
Chemical products,Manufacturing,1997,2024,2010,-0.22896602620247516,0.16103494802189583,0.38035494907596995,115173.0,715205.0,302804.0,112.663,105.909
Computer and electronic products,Manufacturing,1997,2024,2010,4.892086687106372,0.15875154091155028,0.2492010121971508,56921.0,358554.0,228414.0,29.371,110.043
Computer systems design and related services,Nonmanufacturing,1997,2024,2010,3.4330769493792053,0.04450510952764962,0.06716845985405101,13466.0,302572.0,200481.0,55.923,141.303
Construction,Nonmanufacturing,1997,2024,2010,-0.6228106299989279,0.0017419149642213226,0.003371803791134958,1769.0,1.015549e6,524645.0,112.301,94.919
"Data processing, internet publishing, and other information services",Nonmanufacturing,1997,2024,2010,1.7916573202679555,0.09777799747892929,0.14547059147989483,15824.0,161836.0,108778.0,73.652,119.474
Educational services,Nonmanufacturing,1997,2024,2010,-0.33428788954990185,0.0061799790578782755,0.009107504866413176,1806.0,292234.0,198298.0,110.064,100.565
"Electrical equipment, appliances, and components",Manufacturing,1997,2024,2010,-0.031004899983106467,0.0491669941419994,0.10419491033040244,5380.0,109423.0,51634.0,92.966,92.191
Fabricated metal products,Manufacturing,1997,2024,2010,-0.44482493902912407,0.015260304935405937,0.03760370200525284,4510.0,295538.0,119935.0,103.366,91.668
Farms,Nonmanufacturing,1997,2024,2010,0.747586055102081,0.0,0.0,0.0,331437.0,127559.0,86.416,105.744
Federal,Nonmanufacturing,1997,2024,2010,0.03852809469346852,0.1164027525775355,0.1785884730415989,150057.0,1.289119e6,840239.0,98.691,99.723
"Federal Reserve banks, credit intermediation, and related activities",Nonmanufacturing,1997,2024,2010,-0.47911510659438755,0.003134111314489115,0.005172660839661843,2166.0,691105.0,418740.0,109.219,95.966
Food and beverage and tobacco products,Manufacturing,1997,2024,2010,-0.07467525048943102,0.009936850045660684,0.038972420920383395,7693.0,774189.0,197396.0,100.549,98.542
Food services and drinking places,Nonmanufacturing,1997,2024,2010,0.1527933607709543,0.0008456792056879757,0.0016950549127164433,432.0,510832.0,254859.0,94.285,98.256
