year,sector,sector_order,row_type,value_thousands,share_of_persons_engaged_percent,share_of_domestic_industries_percent,source_table,source_line,source_description,classification_note,source_note
1929,"Agriculture, forestry, fishing, and hunting",1,sector,8627.0,18.916370652984256,18.916370652984256,Table 6.8A,4,"Agriculture, forestry, and fisheries",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Mining,2,sector,1017.0,2.229969740823576,2.229969740823576,Table 6.8A,7,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Utilities,3,sector,495.0,1.085383502170767,1.085383502170767,Table 6.8A,49,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Construction,4,sector,2306.0,5.056352234355129,5.056352234355129,Table 6.8A,13,Contract construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Manufacturing,5,sector,10556.0,23.14607727053458,23.14607727053458,Table 6.8A,14,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Wholesale trade,6,sector,1744.0,3.8240582379511467,3.8240582379511467,Table 6.8A,52,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Retail trade,7,sector,6077.0,13.325001096346972,13.325001096346972,Table 6.8A,53,Retail trade and automobile services,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Transportation and warehousing,8,sector,3034.0,6.652633425426479,6.652633425426479,Table 6.8A,37 - 46 - 49,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Information,9,sector,539.0,1.1818620356970575,1.1818620356970575,Table 6.8A,46,Communication,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,"Finance, insurance, real estate, rental, and leasing",10,sector,1575.0,3.4534929614524406,3.4534929614524406,Table 6.8A,54,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Professional and business services,11,service_detail,missing,missing,missing,Table 6.8A,,,Service detail is not available before Table 6.8D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,"Educational services, health care, and social assistance",12,service_detail,missing,missing,missing,Table 6.8A,,,Service detail is not available before Table 6.8D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,"Arts, entertainment, recreation, accommodation, and food services",13,service_detail,missing,missing,missing,Table 6.8A,,,Service detail is not available before Table 6.8D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,"Other services, except government",14,service_detail,missing,missing,missing,Table 6.8A,,,Service detail is not available before Table 6.8D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Services,15,services_total,6484.0,14.217427531465159,14.217427531465159,Table 6.8A,61,Services,Legacy aggregate services mapped to total services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Government,16,sector,3152.0,6.91137131079244,6.91137131079244,Table 6.8A,75,Government,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1929,Rest of the world,17,sector,0.0,0.0,missing,Table 6.8A,88,Rest of the world,Direct mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,"Agriculture, forestry, fishing, and hunting",1,sector,8441.0,19.401475624612132,19.401475624612132,Table 6.8A,4,"Agriculture, forestry, and fisheries",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Mining,2,sector,956.0,2.1973475532672904,2.1973475532672904,Table 6.8A,7,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Utilities,3,sector,503.0,1.1561357942400075,1.1561357942400075,Table 6.8A,49,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Construction,4,sector,2183.0,5.017583377387547,5.017583377387547,Table 6.8A,13,Contract construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Manufacturing,5,sector,9418.0,21.647091272668767,21.647091272668767,Table 6.8A,14,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Wholesale trade,6,sector,1685.0,3.872939986668812,3.872939986668812,Table 6.8A,52,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Retail trade,7,sector,5839.0,13.420828832141954,13.420828832141954,Table 6.8A,53,Retail trade and automobile services,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Transportation and warehousing,8,sector,2795.0,6.424253568391293,6.424253568391293,Table 6.8A,37 - 46 - 49,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
1930,Information,9,sector,531.0,1.220493253959133,1.220493253959133,Table 6.8A,46,Communication,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.8A/B/C/D."
