year,sector,sector_order,row_type,value_millions,share_of_national_income_percent,share_of_domestic_industries_percent,source_table,source_line,source_description,classification_note,source_note
1948,"Agriculture, forestry, fishing, and hunting",1,sector,21699.0,8.710819577365276,8.76203320842486,Table 6.1B,4,"Agriculture, forestry, and fishing",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Mining,2,sector,5814.0,2.333964930310232,2.347687039669208,Table 6.1B,5,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Utilities,3,sector,3674.0,1.4748859913931531,1.483557307145626,Table 6.1B,13,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Construction,4,sector,11094.0,4.453561564647697,4.479745445147952,Table 6.1B,6,Construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Manufacturing,5,sector,75228.0,30.199434774230845,30.376986690786925,Table 6.1B,7,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Wholesale trade,6,sector,17065.0,6.850552379728948,6.890828918464918,Table 6.1B,14,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Retail trade,7,sector,28823.0,11.570669278694842,11.63869686005944,Table 6.1B,15,Retail trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Transportation and warehousing,8,sector,13796.0,5.538249084719635,5.570810182194082,Table 6.1B,10 - 12 - 13,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Information,9,sector,3792.0,1.5222557646605435,1.5312055821165524,Table 6.1B,12,Communications,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,"Finance, insurance, real estate, rental, and leasing",10,sector,22911.0,9.197363350247286,9.251437524227937,Table 6.1B,16,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Professional and business services,11,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,"Educational services, health care, and social assistance",12,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,"Arts, entertainment, recreation, accommodation, and food services",13,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,"Other services, except government",14,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Services,15,services_total,21363.0,8.575936155180166,8.62635676443985,Table 6.1B,17,Services,Legacy aggregate services mapped to total services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Government,16,sector,22389.0,8.98781231935256,9.04065447732265,Table 6.1B,18,Government,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1948,Rest of the world,17,sector,1456.0,0.5844948294688163,missing,Table 6.1B,19,Rest of the world,Direct mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,"Agriculture, forestry, fishing, and hunting",1,sector,16982.0,6.969833777960189,7.00664273631225,Table 6.1B,4,"Agriculture, forestry, and fishing",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Mining,2,sector,4998.0,2.051303098707162,2.0621364030201756,Table 6.1B,5,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Utilities,3,sector,4215.0,1.7299404884054996,1.7390766183933655,Table 6.1B,13,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Construction,4,sector,10997.0,4.513441411861276,4.53727771588893,Table 6.1B,6,Construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Manufacturing,5,sector,71305.0,29.26533962651344,29.41989520155135,Table 6.1B,7,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Wholesale trade,6,sector,16568.0,6.7999179150420686,6.835829516854396,Table 6.1B,14,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Retail trade,7,sector,28746.0,11.79807100348861,11.860378759747494,Table 6.1B,15,Retail trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Transportation and warehousing,8,sector,13078.0,5.367535399138108,5.39588232867104,Table 6.1B,10 - 12 - 13,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Information,9,sector,4093.0,1.6798686640673097,1.6887403556545777,Table 6.1B,12,Communications,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,"Finance, insurance, real estate, rental, and leasing",10,sector,24737.0,10.152678021752514,10.206296158765523,Table 6.1B,16,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1949,Professional and business services,11,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
