year,patent_applications,patent_applications_measure,source_segment,period_type,nominal_rd_investment_millions,rd_quantity_index,real_rd_investment_millions_1972_dollars,patent_applications_per_million_1972_rd_dollars,patent_applications_per_billion_1972_rd_dollars,source_note
1901,43973.0,utility applications,PTMT calendar-year series,calendar year,5.0,0.01,9.49308073706801,4632.110609603991,4.632110609603991e6,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1902,48320.0,utility applications,PTMT calendar-year series,calendar year,9.0,0.02,18.98616147413602,2545.0115372622386,2.5450115372622386e6,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1903,49289.0,utility applications,PTMT calendar-year series,calendar year,14.0,0.03,28.479242211204024,1730.6991399022972,1.7306991399022972e6,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1904,51168.0,utility applications,PTMT calendar-year series,calendar year,18.0,0.039,37.023014874565234,1382.059245400686,1.382059245400686e6,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1905,54034.0,utility applications,PTMT calendar-year series,calendar year,23.0,0.049,46.51609561163324,1161.6194198914366,1.1616194198914366e6,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1906,55471.0,utility applications,PTMT calendar-year series,calendar year,27.0,0.059,56.009176348701246,990.3912825757217,990391.2825757216,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1907,57679.0,utility applications,PTMT calendar-year series,calendar year,32.0,0.069,65.50225708576926,880.5650761694301,880565.0761694302,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1908,60142.0,utility applications,PTMT calendar-year series,calendar year,36.0,0.079,74.99533782283727,801.9431840159776,801943.1840159777,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1909,64408.0,utility applications,PTMT calendar-year series,calendar year,41.0,0.089,84.48841855990528,762.329335757805,762329.335757805,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1910,63293.0,utility applications,PTMT calendar-year series,calendar year,45.0,0.098,93.03219122326648,680.3344000369091,680334.400036909,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
1911,67370.0,utility applications,PTMT calendar-year series,calendar year,50.0,0.108,102.52527196033449,657.1062793772882,657106.2793772881,"USPTO utility patent applications divided by BEA Fixed Assets private R&D investment, deflated with BEA Fixed Assets Table 2.8 and rebased to 1972 dollars."
