TableName,TableNumber,TableDescription,Metric,Units,LastRevised,LineNumber,LineDescription,TimePeriod,DataValue
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1901,2.912
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1902,3.364
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1903,3.619
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1904,3.465
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1905,4.114
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1906,4.687
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1907,4.968
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1908,4.188
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1909,4.924
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1910,5.178
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1911,4.959
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1912,5.73
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1913,5.94
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1914,5.043
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1915,5.011
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1916,6.634
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1917,7.7
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1918,8.678
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1919,10.585
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1920,12.433
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1921,10.08
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1922,11.812
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1923,15.531
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1924,14.589
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1925,16.858
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1926,16.993
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1927,16.231
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1928,15.998
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1929,15.822
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1930,12.153
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1931,8.226
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1932,4.765
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1933,4.174
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1934,5.308
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1935,6.591
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1936,8.502
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1937,10.632
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1938,9.023
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1939,10.429
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1940,12.439
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1941,14.966
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1942,10.432
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1943,8.727
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1944,10.596
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1945,14.336
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1946,26.862
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1947,37.391
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1948,44.724
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1949,41.957
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1950,50.916
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1951,53.053
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1952,53.956
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1953,58.62
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1954,59.829
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1955,68.353
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1956,73.428
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1957,75.471
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1958,71.549
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1959,81.339
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1960,82.775
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1961,83.267
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1962,90.694
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1963,97.33
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1964,107.126
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1965,120.124
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1966,129.826
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1967,132.03
FAAT207,2.7,"Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1968,146.934
