TableName,TableNumber,TableDescription,Metric,Units,LastRevised,LineNumber,LineDescription,TimePeriod,DataValue
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1947,37.391
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1948,44.724
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1949,41.957
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1950,50.916
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1951,53.053
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1952,53.956
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1953,58.62
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1954,59.829
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1955,68.353
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1956,73.428
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1957,75.471
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1958,71.549
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1959,81.339
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1960,82.775
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1961,83.267
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1962,90.694
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1963,97.33
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1964,107.126
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1965,120.124
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1966,129.826
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1967,132.03
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1968,146.934
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1969,163.461
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1970,166.401
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1971,186.63
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1972,217.319
FAAT307ESI,3.7ESI,Investment in Private Fixed Assets by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1973,249.544
