TableName,TableNumber,TableDescription,Metric,Units,LastRevised,LineNumber,LineDescription,TimePeriod,DataValue
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1947,2.02
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1948,2.075
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1949,2.035
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1950,2.256
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1951,2.354
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1952,2.977
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1953,3.66
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1954,3.88
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1955,4.315
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1956,5.215
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1957,5.572
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1958,5.97
FAAT307I,3.7I,Investment in Private Intellectual Property Products by Industry,Historical Cost,Billions of dollars,"September 26, 2025",01,Private fixed assets,1959,6.612
