Table 6.1B. National Income Without Capital Consumption Adjustment by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1948 to 1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published September 28, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created Jun 26 2024 10:56AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
1,      National income without capital consumption adjustment,A422RC,249104,243650,270417,311965,330007,346851,345826,377537,401391,420216,423027,460314,479200,495593,530309,560375,601271,652737,711866,752434,824675,891749,933447,1011070,1114319,1249447,1348573,1458027,1624178,1807367,2038827,2260600,2445731,2727357,2839065,3028818,3381167,3586907,3757550,4030118
2,Domestic industries,A423RC,247648,242370,268977,310073,328022,344952,343731,375088,398595,417161,420399,457553,476088,492074,526212,555899,596351,647457,706795,747040,818590,885634,927054,1003476,1105755,1236830,1333067,1445034,1607332,1787075,2017245,2228671,2411547,2694424,2802554,2991734,3344876,3561541,3740593,4012633
3,  Private industries,A736RC,225259,217597,242693,275901,288665,304388,302305,331660,352901,368404,368117,402417,417352,429464,459359,484160,518874,564077,613361,644142,703145,759426,788037,851004,938758,1058311,1140245,1233835,1380073,1543180,1751089,1941092,2096686,2346208,2424734,2588058,2909541,3087946,3237244,3479053
4,"    Agriculture, forestry, and fishing",J424RC,21699,16982,17975,20807,19890,17692,17191,16190,16001,15842,17974,16198,17144,17376,17641,17595,16535,19078,19894,19077,19642,21490,22131,23992,28175,43885,42661,43543,41818,41138,47933,56757,50848,61741,58757,47534,62977,62968,61898,66500
5,    Mining,J734RC,5814,4998,5833,6388,6229,6262,6106,6805,7584,7597,6849,6626,6869,6953,6860,7262,7503,7550,7831,8095,8919,9199,10403,10749,11816,14082,20752,24892,26212,31722,34946,42389,64380,88762,80192,63598,66766,57743,42054,42532
6,    Construction,J735RC,11094,10997,12541,14877,16088,16609,16704,17886,19939,20812,20366,22125,22642,23645,25392,27134,29736,32609,35581,37216,40691,45577,47922,52577,58202,65937,70341,70375,80565,89249,105322,118512,124622,125188,123468,130481,151834,166719,185684,201005
7,    Manufacturing,J426RC,75228,71305,83687,98160,101776,110519,104315,118539,124837,128438,119991,135722,137119,136962,149080,157467,168868,186648,205469,209847,228694,240590,233783,245612,271301,305403,321739,337712,387705,439717,495602,542968,560463,620138,603045,633076,706313,736962,736651,780199
8,      Durable goods,J428RC,37524,35888,44970,54185,57106,63638,58134,67758,71106,74354,66133,77525,78037,76781,86117,91915,99048,111373,123431,125402,136783,143981,134662,141765,160120,183529,188266,191896,223423,258315,296120,320247,321854,351761,333008,354005,413931,429897,439197,458415
9,      Nondurable goods,J427RC,37704,35417,38716,43975,44670,46880,46181,50782,53732,54084,53859,58198,59082,60181,62963,65552,69820,75275,82037,84445,91911,96609,99122,103847,111182,121873,133474,145817,164282,181402,199482,222721,238609,268377,270037,279071,292383,307065,297455,321784
10,    Transportation and public utilities,J737RC,21262,21386,23951,27070,28869,30579,29988,32394,34847,36536,36467,39354,41370,42622,44840,47180,50140,53562,57858,60123,64802,70157,74575,81933,90610,98915,106660,116992,134393,149446,167672,179246,195697,217601,233824,253343,278792,283820,300871,317672
11,      Transportation,J429RC,13797,13079,14744,16466,17141,17640,16394,17813,18987,19555,18495,19416,19787,19945,20872,21750,23036,24902,26869,27334,29424,31406,32989,36398,40461,45081,49700,49660,58356,65101,73537,80691,84513,88528,86695,94353,106714,109313,118859,127178
12,      Communications,J430RC,3792,4093,4601,5319,5938,6649,6740,7362,8094,8698,9116,10103,10782,11310,12048,12849,13681,14768,16188,17295,18564,20798,22739,24193,26964,29333,31855,34530,39239,43369,49439,53321,59498,68362,74859,80081,84037,89719,95522,96704
13,"      Electric, gas, and sanitary services",J431RC,3674,4215,4607,5284,5790,6290,6854,7219,7765,8283,8856,9836,10801,11366,11919,12581,13423,13892,14801,15494,16813,17954,18847,21342,23185,24501,25105,32802,36799,40975,44695,45233,51686,60712,72270,78909,88041,84787,86489,93790
14,    Wholesale trade,J433RC,17065,16568,18202,20762,21292,21865,22132,24739,26986,28365,29142,33629,35374,36498,38854,40635,43506,46759,50773,53733,59054,64143,68144,73662,81952,91742,103730,113021,120337,132668,149586,168743,178433,197703,201492,214090,247243,258391,272603,283058
15,    Retail trade,J434RC,28823,28746,29931,32472,34200,35048,35865,38223,39850,41856,42564,46322,47416,48713,52165,54624,59982,64255,68697,74048,82108,89036,94578,102994,111940,123441,128979,144162,163112,180267,201310,217394,223573,244993,259439,287509,321084,353433,380861,400434
16,"    Finance, insurance, and real estate",J435RC,22911,24737,27261,30176,33376,36757,39962,43182,46204,49359,52920,56530,60686,64268,68297,72148,77141,82601,88567,95407,103965,113710,122245,135618,147152,160246,175522,194502,212100,235390,269195,299480,341521,390509,427817,475803,530534,568243,596308,651965
17,    Services,J437RC,21363,21878,23310,25190,26946,29057,30041,33702,36653,39597,41843,45911,48732,52426,56230,60114,65464,71015,78692,86596,95272,105523,114256,123867,137610,154659,169861,188634,213832,243584,279523,315601,357149,399572,436700,482622,543996,599668,660315,735688
18,  Government,B436RC,22389,24773,26283,34172,39356,40565,41427,43428,45694,48758,52282,55135,58737,62611,66854,71741,77476,83379,93433,102898,115445,126209,139017,152472,166997,178519,192822,211200,227258,243895,266156,287579,314860,348216,377820,403677,435336,473595,503349,533579
19,Rest of the world,A192RC,1456,1280,1440,1892,1985,1899,2095,2449,2796,3055,2628,2761,3112,3519,4097,4476,4920,5280,5071,5394,6085,6115,6393,7594,8564,12617,15506,12993,16846,20292,21582,31930,34184,32933,36511,37084,36291,25365,16957,17485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
