Table 6.1C. National Income Without Capital Consumption Adjustment by Industry,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,
Annual data from 1987 to 2000,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,
"Data published September 28, 2023",,,,,,,,,,,,,,,,
File created Jun 26 2024 10:56AM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Line,,,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
1,      National income without capital consumption adjustment,A422RC,4030118,4407231,4703340,4982558,5145311,5455438,5706073,6082738,6417096,6821824,7282119,7745582,8192646,8782469
2,Domestic industries,A423RC,4012633,4384573,4678549,4947865,5113722,5424362,5674914,6059772,6389147,6790959,7258819,7728175,8161742,8743988
3,  Private industries,A736RC,3479053,3809000,4057919,4279349,4397524,4663178,4891096,5247949,5552926,5930933,6364897,6794496,7176189,7700754
4,"    Agriculture, forestry, and fishing",B424RC,66500,68527,77761,83222,77683,85498,79303,89754,80481,99020,97723,92418,90451,95731
5,    Mining,B734RC,42532,50278,52291,58666,55272,54680,54776,57810,57591,69027,78466,66680,63539,83695
6,    Construction,B735RC,201005,218289,222392,231063,217910,220091,233642,260257,279324,305976,331681,369556,417297,456998
7,    Manufacturing,A426RC,780200,871030,877601,910673,907280,924031,952040,1025783,1083894,1113989,1180479,1201195,1247769,1313236
8,      Durable goods,B428RC,457742,505180,503770,508026,500818,515102,537060,586109,612026,631070,676994,698936,715077,753348
9,      Nondurable goods,B427RC,322458,365850,373830,402647,406462,408930,414980,439674,471868,482919,503485,502259,532693,559888
10,    Transportation and public utilities,A737RC,317672,345258,355926,380751,399322,415546,439168,472058,487989,506601,512948,536438,556874,584161
11,      Transportation,B429RC,127134,139110,138040,146572,155077,161844,173238,187740,195337,204228,223848,241806,254182,268395
12,      Communications,B430RC,96704,104053,106183,115479,119994,125716,134924,144104,146631,152971,141349,150006,149190,161621
13,"      Electric, gas, and sanitary services",B431RC,93834,102095,111702,118701,124251,127987,131006,140215,146021,149401,147752,144627,153502,154145
14,    Wholesale trade,B433RC,283571,315727,331806,348628,363985,381053,390511,427750,444998,477217,515632,556289,574689,612049
15,    Retail trade,B434RC,399921,426640,450923,472780,486545,500601,534674,577764,608357,648271,697347,751357,795414,837734
16,"    Finance, insurance, and real estate",B435RC,652161,689245,794306,793487,835496,942836,1002621,1056195,1135942,1227981,1342338,1470799,1544922,1681482
17,    Services,B437RC,735491,824006,894912,1000080,1054030,1138842,1204361,1280579,1374350,1482851,1608282,1749764,1885234,2035666
18,  Government,B436RC,533579,575573,620631,668516,716197,761185,783818,811822,836220,860026,893923,933679,985553,1043233
19,Rest of the world,A192RC,17485,22658,24791,34693,31589,31076,31159,22966,27949,30865,23300,17407,30904,38480
,,,,,,,,,,,,,,,,
Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).,,,,,,,,,,,,,,,,
