Table 6.1D. National Income Without Capital Consumption Adjustment by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1998 to 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published June 27, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created Jun 26 2024 10:56AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,      National income without capital consumption adjustment,A422RC,7745582,8192646,8782469,9034302,9213130,9641579,10346631,11296525,12064723,12424137,12305263,12033679,12724880,13150730,14068169,14442798,15127740,15607751,15854318,16429538,17138719,17842180,17571241,19601220,21560257,22476790
2,Domestic industries,A423RC,7728175,8161742,8743988,8983939,9167336,9583083,10269917,11221725,12018263,12328473,12160049,11883436,12519246,12912798,13835478,14212561,14892582,15387605,15622953,16136588,16848412,17560284,17356392,19417693,21378382,22312579
3,  Private industries,A736RC,6794496,7176189,7700754,7870886,7989096,8337870,8963090,9858785,10597490,10840429,10603976,10279635,10866894,11251335,12167837,12502419,13135281,13568661,13763622,14230629,14864964,15526009,15263514,17267486,19164091,19968894
4,"    Agriculture, forestry, fishing, and hunting",N5004C,74550,70374,74147,75125,70745,84628,107408,97102,97139,110985,107151,97225,113350,138465,150481,175080,162664,147080,123703,133467,119663,112641,110533,161472,200784,193083
5,    Mining,N5005C,72602,70617,90675,102345,86583,109127,129943,176265,210056,203647,259750,149959,184142,226085,244813,258989,280481,152478,95410,150561,179188,164882,86771,217213,351554,285794
6,    Utilities,N5006C,128627,134424,135415,138363,132210,135543,148912,162412,194015,193965,179576,171253,183680,163591,166034,175430,187541,177589,165891,173950,197223,193645,213158,224433,238856,248005
7,    Construction,N5007C,384580,432483,475114,508969,513439,530218,582498,651404,704887,677882,609066,534103,534287,546022,591545,624570,678322,736242,780375,833059,872722,933891,928761,988182,1096130,1157421
8,    Manufacturing,N5008C,1136382,1175754,1235582,1113646,1073610,1106838,1201577,1336732,1439268,1456744,1385850,1211900,1349113,1404553,1552844,1595459,1649727,1691115,1582642,1610260,1735551,1739885,1649126,1890978,2238982,2320974
9,      Durable goods,N5009C,696310,713639,750867,635240,613598,629893,673766,763966,814554,826953,774358,656018,751838,786502,887706,915332,944808,983185,955747,972524,1008092,1042199,998979,1111701,1264906,1358375
10,      Nondurable goods,N5010C,440072,462115,484715,478406,460012,476946,527811,572765,624714,629791,611493,555881,597275,618051,665138,680126,704919,707930,626894,637736,727459,697686,650147,779277,974077,962599
11,    Wholesale trade,N5011C,514643,532615,570243,560401,562030,578040,623679,684982,735408,756005,749392,694871,728194,767195,843900,871170,909057,939456,922870,945825,959965,1024715,1017532,1138618,1279365,1320814
12,    Retail trade,N5012C,611090,626189,666733,698000,723699,757125,788068,857703,904863,894400,826920,823845,863712,890758,960674,986712,1022973,1066747,1093814,1102263,1130713,1175797,1253797,1431657,1522734,1636138
13,    Transportation and warehousing,N5013C,249950,257730,272264,269311,264432,278659,304489,335491,362742,372565,367802,349222,384400,391471,434145,442192,470845,502602,514527,534814,550407,573981,523889,658327,778209,833864
14,    Information,N5014C,280303,310301,304045,310891,322699,344892,386965,439954,455166,486791,470931,448099,459083,457091,509490,555672,565716,599861,635483,637823,635600,690778,674618,789127,812205,826578
15,"    Finance, insurance, real estate, rental, and leasing",N5015C,1303636,1350435,1464839,1590443,1588643,1637038,1730697,1911197,2036846,2080517,1940453,2134019,2164467,2195390,2405472,2418126,2568818,2654450,2764991,2816895,2918529,3047905,3167657,3400795,3559818,3499690
16,    Professional and business services\1\,N5016C,896311,990279,1100090,1129327,1171598,1226872,1301280,1441537,1574641,1640756,1695450,1599637,1729830,1816606,1937513,1962467,2091667,2218121,2281147,2395056,2538796,2700484,2690351,3039613,3370253,3605151
17,"    Educational services, health care, and social assistance",N5017C,605724,645307,688190,750637,819961,869386,932744,987466,1053547,1112926,1184436,1251303,1303594,1346995,1403515,1436616,1481170,1554696,1630134,1682761,1750129,1835738,1853041,1999470,2149935,2333491
18,"    Arts, entertainment, recreation, accommodation, and food services",N5018C,290424,317556,340243,352795,365218,381522,411184,439832,468304,491346,482167,467353,495258,520876,562059,588150,630009,676487,712304,740948,777506,816673,609868,799109,975508,1075149
19,"    Other services, except government",N5019C,245671,262266,283366,270632,294229,297977,313644,336710,360609,361899,345030,346846,373784,386238,405350,411787,436290,451736,460332,472947,498970,514993,484411,528491,589756,632741
20,  Government,B436RC,933679,985553,1043233,1113053,1178239,1245212,1306827,1362940,1420772,1488043,1556073,1603802,1652352,1661463,1667642,1710141,1757301,1818944,1859331,1905959,1983448,2034275,2092878,2150207,2214291,2343686
21,Rest of the world,A192RC,17407,30904,38480,50364,45794,58497,76714,74800,46460,95664,145214,150243,205634,237932,232690,230237,235158,220146,231365,292950,290307,281895,214848,183527,181875,164211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of professional, scientific, and technical services; management of companies and enterprises; and administrative and waste management services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. Estimates in this table are based on the 2017 North American Industry Classification System (NAICS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
