Table 6.8C. Persons Engaged in Production by Industry,,,,,,,,,,,,,,,,
[Thousands],,,,,,,,,,,,,,,,
Annual data from 1987 to 2000,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,
"Data published September 29, 2023",,,,,,,,,,,,,,,,
File created Jun 26 2024 10:56AM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Line,,,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
1,      Persons engaged in production\1\,A4601C,106967,110092,112825,114024,112776,112554,114531,117342,120268,122421,125267,128099,130449,133221
2,Domestic industries,A4602C,107033,110167,112908,114106,112858,112632,114896,117753,120677,122798,125671,128500,130890,133617
3,  Private industries\2\,A4603C,89797,92524,94862,95736,94434,94292,96611,99470,102281,104386,107142,109802,112041,114512
4,"    Agriculture, forestry, and fishing",A4604C,2932,2988,2940,2931,2964,2883,2936,2995,3209,3154,3133,3132,3170,3145
5,      Farms,Q4605C,1968,1977,1880,1846,1861,1803,1801,1790,1967,1826,1813,1704,1692,1659
6,"      Agricultural services, forestry, and fishing",B4606C,964,1011,1060,1085,1103,1080,1135,1205,1242,1328,1320,1428,1478,1486
7,    Mining,A4607C,734,745,715,730,708,653,621,610,594,586,601,599,541,543
8,      Metal mining,B4608C,47,54,60,61,57,56,52,50,53,56,54,49,45,42
9,      Coal mining,B4609C,161,151,145,146,136,125,111,111,105,96,94,92,84,76
10,      Oil and gas extraction,B4610C,413,424,397,412,411,369,353,346,328,326,344,348,303,314
11,"      Nonmetallic minerals, except fuels",Q4611C,113,116,113,111,104,103,105,103,108,108,109,110,109,111
12,    Construction,B4612C,6141,6357,6419,6406,5958,5812,6068,6334,6572,6861,7152,7488,7894,8282
13,    Manufacturing,A4613C,18939,19310,19364,19081,18400,18039,18078,18409,18584,18527,18717,18862,18594,18454
14,      Durable goods,A4614C,11195,11450,11466,11197,10653,10359,10323,10565,10794,10888,11105,11309,11184,11186
15,        Lumber and wood products,B4615C,797,812,805,788,730,740,777,822,847,841,847,877,897,882
16,        Furniture and fixtures,B4616C,517,530,529,517,477,484,495,515,524,520,531,542,560,570
17,"        Stone, clay, and glass products",B4617C,561,578,576,565,531,519,525,543,546,561,561,567,570,579
18,        Primary metal industries,B4618C,736,766,770,755,722,684,677,695,702,707,707,712,697,696
19,        Fabricated metal products,B4619C,1395,1423,1436,1416,1345,1324,1337,1390,1442,1447,1482,1513,1516,1536
20,        Industrial machinery and equipment,B4620C,2046,2109,2126,2089,2019,1935,1935,1994,2082,2094,2164,2206,2132,2104
21,        Electronic and other electric equipment,B4621C,1763,1757,1740,1674,1588,1524,1521,1572,1614,1654,1683,1697,1655,1705
22,        Motor vehicles and equipment,B4622C,849,848,847,818,780,816,832,894,962,960,975,994,1017,1017
23,        Other transportation equipment,B4623C,1166,1187,1201,1184,1104,1017,920,851,817,821,856,903,872,836
24,        Instruments and related products,B4624C,961,1017,1006,981,953,911,881,853,835,849,860,864,841,836
25,        Miscellaneous manufacturing industries,B4625C,404,423,430,410,404,405,423,436,423,434,439,434,427,425
26,      Nondurable goods,A4626C,7744,7860,7898,7884,7747,7680,7755,7844,7790,7639,7612,7553,7410,7268
27,        Food and kindred products,B4627C,1589,1591,1594,1610,1624,1609,1631,1651,1655,1661,1673,1669,1676,1670
28,        Tobacco products,Q4628C,54,54,51,51,49,47,45,43,41,40,40,39,36,34
29,        Textile mill products,B4629C,716,718,710,689,659,662,670,674,660,631,618,597,555,535
30,        Apparel and other textile products,B4630C,1081,1068,1065,1026,992,984,977,993,945,875,826,770,704,614
31,        Paper and allied products,Q4631C,673,680,688,690,684,682,685,687,688,678,679,674,666,653
32,        Printing and publishing,B4632C,1462,1539,1558,1574,1532,1485,1513,1543,1550,1519,1541,1555,1538,1529
33,        Chemicals and allied products,B4633C,1018,1055,1066,1080,1076,1070,1064,1040,1033,1026,1021,1025,1025,1027
34,        Petroleum and coal products,B4634C,160,156,153,156,156,154,149,145,142,139,135,135,131,125
35,        Rubber and miscellaneous plastics products,B4635C,848,856,874,875,855,870,903,952,968,971,991,1006,1001,1007
36,        Leather and leather products,B4636C,143,143,139,133,120,117,118,116,108,99,88,83,78,74
37,    Transportation and public utilities,Q4637C,5455,5602,5668,5747,5725,5699,5869,6035,6177,6321,6476,6656,6849,7004
38,      Transportation,Q4638C,3345,3483,3565,3575,3568,3574,3741,3908,4042,4180,4285,4439,4567,4634
39,        Railroad transportation,Q4639C,276,268,262,246,237,229,221,216,222,208,205,208,208,198
40,        Local and interurban passenger transit,B4640C,332,359,370,375,377,382,414,437,434,450,488,494,509,495
41,        Trucking and warehousing\3\,Q4641C,1665,1538,1541,1504,1511,1530,1608,1713,1773,1851,1878,1952,2016,2046
42,        Water transportation,B4642C,177,173,176,180,186,171,175,179,182,176,182,189,189,196
43,        Transportation by air\3\,B4643C,574,808,858,907,896,893,929,960,1002,1051,1067,1123,1164,1216
44,"        Pipelines, except natural gas",Q4644C,18,18,18,18,19,19,19,17,15,15,14,13,13,13
45,        Transportation services,B4645C,303,319,340,345,342,350,375,386,414,429,451,460,468,470
46,      Communications,Q4646C,1200,1199,1181,1228,1206,1176,1186,1197,1225,1264,1325,1365,1423,1520
47,        Telephone and telegraph,Q4647C,883,877,851,883,868,838,842,846,853,875,938,959,1009,1086
48,        Radio and television,Q4648C,317,322,330,345,338,338,344,351,372,389,387,406,414,434
49,"      Electric, gas, and sanitary services",Q4649C,910,920,922,944,951,949,942,930,910,877,866,852,859,850
50,    Wholesale trade,B4650C,5985,6136,6375,6306,6163,6166,6105,6288,6517,6550,6701,6883,6976,7062
51,    Retail trade,B4651C,16782,17221,17757,17851,17426,17441,17997,18613,19157,19532,19929,20078,20620,21118
52,"    Finance, insurance, and real estate",A4652C,6912,7014,7047,7135,7062,6990,7138,7226,7181,7270,7383,7593,7757,7795
53,      Depository institutions,Q4653C,2161,2150,2160,2157,2069,2005,1990,1974,1938,1923,1927,1934,1928,1903
54,      Nondepository institutions,B4654C,361,360,358,372,378,406,461,487,468,509,565,644,692,669
55,      Security and commodity brokers,B4655C,501,493,475,471,462,487,530,568,595,619,649,701,762,839
