Table 6.8D. Persons Engaged in Production by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Thousands],,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1998 to 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published September 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,
File created Jun 26 2024 10:56AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,      Persons engaged in production\1\,A4601C,128099,130449,133221,133317,131888,131669,132902,135147,137481,138616,137190,130484,129378,130588,133050,134948,137488,140515,142626,144626,147261,149284,141664,146140,151542
2,Domestic industries,A4602C,128500,130890,133617,133858,132437,132261,133530,135812,138167,139341,138290,131286,130200,131414,134029,136014,138684,141770,144030,146090,148697,150769,142641,147475,153267
3,  Private industries,A4603C,109802,112041,114512,114427,112621,112340,113573,115814,118136,119082,117719,110678,109636,111139,113994,116094,118654,121777,123754,125715,128159,129997,122334,127225,132764
4,"    Agriculture, forestry, fishing, and hunting",N4604C,2180,2183,2166,2070,2075,2049,2007,1971,2000,1958,1948,1896,1920,1958,1917,1956,1944,2082,2071,2010,1985,1963,1936,1940,1963
5,      Farms\2\,N4605C,1622,1643,1631,1629,1654,1611,1554,1525,1450,1404,1394,1383,1383,1416,1366,1382,1368,1460,1474,1413,1381,1361,1363,1364,1381
6,"      Forestry, fishing, and related activities",N4606C,558,540,535,441,421,438,454,446,549,555,554,513,538,543,551,573,576,622,597,597,604,602,574,575,582
7,    Mining,N4607C,568,529,520,548,513,501,523,560,616,667,723,648,662,734,800,813,850,760,617,626,673,677,540,518,564
8,      Oil and gas extraction,N4608C,140,129,125,127,123,120,122,127,133,145,159,160,160,169,188,195,201,194,173,144,141,141,125,112,114
9,"      Mining, except oil and gas",N4609C,241,231,218,220,210,198,205,210,218,221,227,208,207,214,216,207,205,198,181,184,190,191,174,176,182
10,      Support activities for mining,N4610C,187,170,176,202,181,182,196,224,264,301,337,280,295,351,396,410,444,368,263,298,342,345,240,230,268
11,    Utilities,N4611C,598,594,592,592,580,559,553,541,543,544,554,555,546,545,544,540,544,547,549,547,546,544,541,537,548
12,    Construction,N4612C,7773,8094,8397,8512,8356,8461,8859,9145,9516,9460,8928,7557,7100,6963,7019,7273,7638,7989,8268,8459,8826,9102,8701,9090,9395
13,    Manufacturing,N4613C,17574,17372,17272,16481,15288,14539,14337,14267,14215,13939,13436,11835,11523,11719,11960,12015,12196,12361,12306,12462,12645,12789,12112,12354,12846
14,      Durable goods,N4614C,10992,10895,10921,10402,9522,9008,8970,9019,9039,8860,8515,7289,7086,7297,7523,7569,7713,7794,7714,7768,7948,8053,7567,7694,8007
15,        Wood products,N4615C,623,640,629,594,573,546,562,574,566,533,473,371,357,349,353,363,381,387,398,406,422,430,406,421,438
16,        Nonmetallic mineral products,N4616C,548,554,565,551,526,502,505,510,522,510,469,391,371,374,381,380,390,403,412,418,420,424,402,408,422
17,        Primary metals,N4617C,638,619,613,562,502,486,480,464,462,448,437,356,356,384,400,394,394,388,366,361,373,380,347,344,363
18,        Fabricated metal products,N4618C,1750,1743,1761,1674,1547,1465,1478,1529,1560,1558,1523,1307,1283,1338,1405,1429,1465,1455,1415,1411,1451,1473,1368,1382,1428
19,        Machinery,N4619C,1494,1452,1443,1358,1218,1144,1134,1155,1172,1184,1181,1007,987,1050,1098,1097,1112,1108,1065,1069,1104,1115,1039,1051,1107
20,        Computer and electronic products,N4620C,1812,1737,1784,1736,1483,1341,1310,1296,1295,1262,1236,1125,1089,1098,1088,1053,1036,1045,1040,1035,1042,1065,1057,1052,1079
21,"        Electrical equipment, appliances, and components",N4621C,601,591,597,558,495,457,439,431,427,424,419,366,353,360,368,371,376,376,380,388,392,395,378,390,403
22,"        Motor vehicles, bodies and trailers, and parts",N4622C,1269,1311,1312,1213,1149,1109,1105,1092,1062,986,875,667,674,719,775,815,869,911,940,968,999,991,888,953,999
23,        Other transportation equipment,N4623C,804,779,743,726,679,647,652,675,694,713,727,673,649,658,678,684,684,688,676,676,689,724,690,676,704
24,        Furniture and related products,N4624C,670,691,700,672,627,603,599,592,579,552,500,406,368,369,365,376,387,398,399,410,412,398,374,386,395
25,        Miscellaneous manufacturing,N4625C,782,776,774,757,722,708,706,702,699,689,675,618,599,598,611,606,618,635,623,624,644,658,618,631,669
26,      Nondurable goods,N4626C,6582,6477,6351,6080,5766,5531,5367,5248,5176,5079,4922,4546,4436,4422,4437,4446,4483,4568,4592,4694,4697,4736,4545,4660,4840
