Capital Compensation Research and Development  (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Farms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forestry, fishing, and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil and gas extraction,160,122,217,722,822,706,904,1021,1163,1016,1063,1402,955,1096,1273,1228,1330,1388,685,667,1035,1596,1766,1169,3873,6666,5594,5973
"Mining, except oil and gas",54,84,122,234,281,319,343,370,415,458,458,428,400,395,398,357,372,381,371,397,437,505,568,677,884,1167,1440,1567
Support activities for mining,16,19,13,55,119,74,90,111,147,245,251,292,167,206,273,266,283,373,211,93,226,408,404,277,337,589,730,744
Utilities,654,679,682,667,692,667,637,635,571,610,559,537,483,461,427,417,408,396,394,423,459,490,562,649,867,1130,1310,1447
Construction,215,368,545,797,1001,1175,1351,1541,2072,2411,2478,1858,1813,1769,1605,1664,1748,1752,1787,1952,2150,2419,2768,3309,3795,4882,6068,6491
Wood products,76,71,75,64,54,63,76,91,89,82,64,55,68,82,83,96,130,131,130,150,152,164,150,210,340,366,337,307
Nonmetallic mineral products,2821,3000,3186,2987,2976,3145,3266,3558,3812,3957,3891,3640,3573,3381,3474,3697,4472,4766,5271,5643,5876,6422,6926,7291,8055,9273,10039,9934
Primary metals,1194,1254,1052,1149,732,1076,928,2202,2078,2441,2616,3062,1436,2671,3114,3298,3294,3394,3199,3326,3515,4414,4496,4025,5443,6810,6982,6127
Fabricated metal products,3367,3389,3576,3681,3459,3507,3752,4065,4339,4521,4720,4722,4332,4510,4694,5071,5236,5086,5167,5497,5555,6412,7015,7005,6945,9398,10338,9509
Machinery,6918,8361,8041,7971,8140,8438,8641,9234,10476,11419,12090,12442,12110,12909,14253,14638,15862,15741,14369,14284,15163,16907,18352,18182,20355,24400,28633,28761
Computer and electronic products,28481,29457,24487,33313,15590,22981,34144,36338,37818,39998,41936,45039,45506,56921,55049,54925,59055,60251,64712,64647,68347,74238,78292,80292,84890,88976,90007,93358
"Electrical equipment, appliances, and components",3875,3009,3523,3536,3572,3916,4327,3809,4025,5337,4987,5792,5330,5380,5012,5483,6417,5754,7124,6406,6661,7572,7782,7540,8422,10755,12144,12009
"Motor vehicles, bodies and trailers, and parts",19387,20826,22226,22273,21598,23954,25528,24561,24254,24234,19748,10175,3965,15073,18541,19887,20598,21610,24500,26874,28108,28860,29518,27083,24280,27568,31904,32380
Other transportation equipment,8865,8945,11237,10435,10951,10793,11099,10977,14212,15716,18615,18638,21555,23733,25004,22349,22623,23375,25989,25962,27383,30625,31163,24280,26536,23602,30003,30672
Furniture and related products,420,445,473,515,456,485,437,469,514,564,470,368,319,397,404,402,481,539,639,710,580,628,743,807,794,967,982,1039
Miscellaneous manufacturing,4486,4803,5390,5264,5016,5978,6077,5712,5937,6592,6636,7161,8383,8681,8259,8107,7995,7889,6878,8497,8609,9813,9447,11115,12040,12562,14381,14818
Food and beverage and tobacco products,4228,4487,5479,5490,6272,6329,6530,6366,6435,7184,7162,7433,8605,7693,7340,7799,8560,9000,10062,10348,10216,10870,11130,12192,13547,13559,16457,16964
Textile mills and textile product mills,291,312,322,333,256,251,49,239,207,207,182,170,177,248,242,300,467,558,530,560,509,566,607,669,764,678,829,798
Apparel and leather and allied products,408,339,337,395,353,380,267,298,127,58,89,86,88,87,156,61,135,93,33,78,77,135,235,406,630,362,443,661
Paper products,1213,1251,1339,1437,1281,1359,1325,1415,1437,1722,1646,1548,1926,1807,1739,1747,2010,2079,2238,2337,2237,2677,2863,3095,3264,3937,4410,4375
Printing and related support activities,123,175,280,340,309,382,414,439,506,633,663,634,643,728,806,867,920,932,1092,1190,1146,1303,1311,1268,1394,1292,1231,1246
Petroleum and coal products,6621,7130,6777,8036,9955,8116,11312,14204,18093,17581,18567,18160,12787,14992,17965,18910,19355,17964,14805,8413,12721,22181,21353,10741,23763,37887,35103,31521
Chemical products,38014,41588,44762,45370,51056,59599,63518,71276,72388,87726,94746,97489,108349,115173,117454,116430,125541,125231,121977,133842,132157,166593,155484,164379,210998,247791,253106,265940
Plastics and rubber products,2320,2470,2584,2460,2535,2562,2615,2700,2653,2735,2733,2343,3010,3030,3058,3401,3581,3347,4037,4189,3864,4428,4735,4450,4813,6021,6791,6371
Wholesale trade,2475,2643,2713,3082,3481,3857,4269,4781,4966,5183,5363,5658,5426,5655,5818,6305,6693,6859,7331,7947,8625,10920,12776,14989,18782,25275,28405,29944
Retail trade,1132,1418,1511,1640,1942,2139,2270,2435,2554,2739,2624,2666,3022,3021,3142,3381,4112,4437,4901,5737,6367,7711,9057,10908,14785,20372,24119,25725
Air transportation,62,73,70,60,26,10,95,128,144,205,203,166,295,301,264,236,226,216,210,202,182,178,188,146,198,255,322,338
Rail transportation,13,24,27,41,44,54,61,68,70,84,78,98,88,87,79,72,70,68,63,55,58,66,69,81,97,102,111,122
Water transportation,11,17,19,33,40,45,57,63,50,83,86,96,89,68,55,43,51,42,34,22,18,22,20,17,40,41,47,52
Truck transportation,39,80,92,123,154,222,251,249,238,243,207,180,167,163,161,137,141,143,140,136,141,161,155,174,223,286,314,334
Transit and ground passenger transportation,13,26,29,38,41,61,79,84,71,72,64,71,72,71,76,77,68,62,53,38,30,21,10,22,26,20,40,54
Pipeline transportation,10,29,35,29,81,64,64,63,45,41,48,61,47,65,61,61,58,59,69,74,78,92,86,99,116,119,135,160
Other transportation and support activities,33,53,47,78,115,207,208,213,225,241,199,178,146,134,128,105,100,98,94,89,81,84,80,99,130,159,153,149
Warehousing and storage,6,14,16,19,24,39,41,42,46,48,41,42,35,30,27,25,24,22,20,20,19,20,23,21,13,12,13,16
"Publishing industries, except internet (includes software)",4577,5369,7993,5969,6587,10433,13781,18262,22261,21983,28968,30575,31407,35412,38161,40052,46279,50216,51839,59073,63936,68379,77355,83275,94533,104149,116200,124254
Motion picture and sound recording industries,11,23,49,40,53,67,58,67,50,53,60,65,67,73,62,54,56,50,53,63,66,73,70,75,91,136,162,178
Broadcasting and telecommunications,13510,13054,11356,10346,10133,10176,9622,9227,8836,9059,8527,8062,6822,6507,6487,6226,6636,6232,6973,8007,8554,10327,12296,13697,16238,19204,25159,28081
"Data processing, internet publishing, and other information services",2447,2940,484,291,512,6439,6350,8568,7056,8809,7187,11411,12935,15824,16439,12584,14269,13228,13114,13888,13019,12503,16484,20304,22186,26589,30236,32685
"Federal Reserve banks, credit intermediation, and related activities",1400,1722,2061,2412,2860,3499,3430,2929,2994,2958,2571,2472,2325,2166,2328,2627,2615,3015,3145,3553,3850,4705,5589,6250,8064,10886,13224,16680
"Securities, commodity contracts, and investments",752,441,548,684,884,572,542,574,258,419,628,406,452,421,399,150,673,499,513,130,52,670,752,97,276,1041,1187,1441
Insurance carriers and related activities,4126,5290,5191,7462,6043,5091,5912,6801,6822,6927,7731,4951,5685,5453,5453,5827,4764,7658,9556,10476,10317,11957,15105,15260,16997,20375,22646,27410
