Production Account Gross Output (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Farms,225737,218352,218526,224274,232320,213127,242041,274245,274465,269734,315413,338205,308042,331437,389142,412925,446481,450305,412359,391213,405644,407519,409164,429589,492669,590504,579956,572741
"Forestry, fishing, and related activities",38181,41682,45062,38956,38697,39248,41093,45091,46288,47419,44050,44003,40917,45131,48479,46255,49143,55709,54275,50720,52896,52414,50378,53326,60855,64386,67079,67211
Oil and gas extraction,94780,69945,82699,138514,137663,113253,161251,185111,241674,248485,266000,369703,220229,295269,359632,348584,397668,431581,233328,193426,245652,334159,304780,203338,404962,629177,449793,438824
"Mining, except oil and gas",54837,54088,51606,53142,53346,52991,55647,65430,81947,98339,101816,113162,102650,109726,127074,120956,110535,112464,102010,92870,99472,103746,103282,94545,113483,132546,136966,135721
Support activities for mining,22057,23364,17501,20841,29150,24778,29475,41663,60870,86806,94761,109851,72247,82538,97721,125893,127860,165397,135217,72904,106714,131755,135350,76106,76194,98435,115287,110289
Utilities,245078,250688,296907,354778,433304,304662,321358,329306,391865,394846,423222,495637,407341,464563,454314,430685,453462,489852,462796,441047,444787,485109,487132,463236,562181,664187,607677,603774
Construction,708465,778908,840851,913010,955921,968998,1038503,1156993,1285916,1352218,1337485,1274339,1097598,1015549,1019255,1074205,1157431,1263170,1393821,1506878,1576110,1659950,1729982,1802224,1983169,2201188,2386100,2508497
Wood products,88474,91746,98024,94442,87406,89915,92153,105560,114422,114180,102728,88738,65790,71803,72850,80314,89862,96567,99699,103095,108335,120229,112245,123582,163205,179094,173126,173952
Nonmetallic mineral products,85801,91582,95633,97640,94345,95187,96476,102288,113123,125683,128373,114320,89948,92270,93971,99194,105673,113284,118749,124718,127184,131272,134923,133141,145472,166677,173157,175089
Primary metals,168196,166558,156556,155635,136885,139128,137643,181790,202431,233003,256290,280217,167120,235616,281411,269109,263249,265653,228255,204294,222749,254439,235798,198831,281586,316931,307520,301892
Fabricated metal products,243484,254314,256965,268849,252309,246634,244054,259993,287730,316428,342629,357390,280370,295538,326443,342813,349558,359961,352405,342536,345651,372593,376651,345725,390627,451853,454285,458799
Machinery,268967,277350,275785,294399,264749,246697,250044,265586,298710,323479,346685,353740,285188,318487,368892,404338,397319,410780,381705,357499,378037,389432,390876,352046,390937,436052,443039,436395
Computer and electronic products,460907,464478,486393,548425,462484,390008,387704,397947,407463,425687,444092,422888,349965,358554,361357,353949,351764,347081,346598,347172,353926,366227,366807,365899,380304,402032,398775,411954
"Electrical equipment, appliances, and components",111180,114484,116677,124824,110255,100556,97676,102212,108549,117073,126194,126946,103018,109423,118900,123542,123912,127619,127393,123126,124407,128201,131674,127339,142196,169310,187004,193119
"Motor vehicles, bodies and trailers, and parts",431748,449490,505200,483762,460679,478779,490037,507219,524340,524973,514419,424869,343121,434483,498588,516548,554320,598690,632467,625880,596957,637796,649956,576163,666646,716465,785913,770569
Other transportation equipment,155578,183969,180330,161792,181284,175701,172044,176799,205968,213938,263578,269202,248078,248928,258621,290733,303456,320887,325241,301513,335465,352759,328385,282726,280763,310359,363210,376961
Furniture and related products,63544,68414,70811,75837,73046,75583,75229,78326,84207,86323,85647,76911,59611,57236,57227,65700,67443,69631,74743,75784,76239,76644,74141,69981,74983,83784,83538,84552
Miscellaneous manufacturing,110492,116036,114988,128626,118781,126725,131685,133778,148399,156223,159463,169557,161296,159695,161937,156473,166345,161683,165036,157626,158621,167066,166469,157134,174828,176215,175103,177699
