Integrated Total Factor Productivity* (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Farms,86.415999999999997,85.778999999999996,84.643000000000001,90.024000000000001,88.924000000000007,90.954999999999998,94.703999999999994,96.167000000000002,98.730999999999995,97.784999999999997,92.600999999999999,92.997,98.570999999999998,97.218000000000004,95.06,93.048000000000002,96.183000000000007,95.021000000000001,99.034000000000006,101.858,100,102.27800000000001,98.932000000000002,99.367999999999995,101.893,101.322,101.66800000000001,105.744
"Forestry, fishing, and related activities",91.992000000000004,92.188999999999993,92.664000000000001,94.566999999999993,103.349,105.822,108.488,108.471,107.962,106.55500000000001,99.587000000000003,99.046000000000006,101.732,97.543000000000006,97.147999999999996,99.86,96.012,96.91,96.551000000000002,98.111000000000004,100,98.099000000000004,96.384,106.193,102.949,97.043999999999997,101.63500000000001,107.485
Oil and gas extraction,68.194000000000003,69.578000000000003,66.31,58.033000000000001,63.246000000000002,69.725999999999999,61.616,60.848999999999997,60.393000000000001,65.543000000000006,69.19,65.597999999999999,82.679000000000002,70.174000000000007,69.088999999999999,76.802999999999997,77.498999999999995,81.632000000000005,98.043000000000006,103.36499999999999,100,96.262,109.229,117.896,107.029,98.215000000000003,125.491,129.607
"Mining, except oil and gas",113.34099999999999,123.607,127.79,129.72,129.00700000000001,127.86499999999999,131.15299999999999,127.46,126.994,126.73399999999999,125.017,115.364,114.309,117.254,112.64100000000001,102.706,103.03700000000001,100.431,97.144000000000005,97.656999999999996,100,98.141999999999996,97.820999999999998,105.374,104.101,99.257999999999996,99.694999999999993,96.191000000000003
Support activities for mining,58.604999999999997,58.456000000000003,60.941000000000003,72.915999999999997,90.456999999999994,82.25,86.617000000000004,90.241,94.968999999999994,108.22499999999999,110.07599999999999,113.057,100.18899999999999,103.867,110.59,107.9,109.148,115.001,98.665999999999997,85.619,100,115.264,110.4,100.246,115.203,128.88300000000001,134.191,136.166
Utilities,97.867999999999995,95.114999999999995,102.91500000000001,102.685,93.885999999999996,96.171000000000006,96.227000000000004,99.778000000000006,96.730999999999995,99.405000000000001,99.003,100.38800000000001,96.221999999999994,102.571,104.646,104.873,103.086,99.403999999999996,98.881,101.11799999999999,100,97.328000000000003,96.754999999999995,99.355000000000004,95.912000000000006,94.727999999999994,96.617999999999995,96.376000000000005
Construction,112.301,111.483,110.16800000000001,110.80800000000001,108.88500000000001,107.526,107.795,107.566,105.46899999999999,101.33799999999999,99.66,97.17,97.222999999999999,97.167000000000002,97.275999999999996,97.277000000000001,97.613,97.332999999999998,97.962000000000003,98.611999999999995,100,99.168999999999997,98.763999999999996,98.849000000000004,98.650999999999996,94.466999999999999,93.713999999999999,94.918999999999997
Wood products,87.477000000000004,87.216999999999999,86.192999999999998,86.757999999999996,87.620999999999995,89.046000000000006,89.760999999999996,88.534000000000006,90.488,90.415000000000006,93.167000000000002,93.994,95.671999999999997,98.555000000000007,102.152,102.749,102.21599999999999,98.114999999999995,99.616,100.17700000000001,100,97.665000000000006,97.430999999999997,101.24299999999999,98.085999999999999,95.355999999999995,99.902000000000001,99.555000000000007
Nonmetallic mineral products,99.676000000000002,98.903999999999996,98.807000000000002,97.515000000000001,96.813000000000002,97.366,100.482,102.125,103.517,99.013000000000005,98.921999999999997,97.950999999999993,94.091999999999999,96.966999999999999,99.048000000000002,100.21299999999999,102.178,101.39100000000001,100.381,98.721000000000004,100,99.706000000000003,100.503,100.411,101.818,98.334000000000003,92.924999999999997,91.007000000000005
Primary metals,82.792000000000002,84.947999999999993,86.989000000000004,87.23,88.304000000000002,91.347999999999999,92.215999999999994,94.322999999999993,91.954999999999998,89.513999999999996,89.700999999999993,90.715999999999994,92.766000000000005,92.385000000000005,93.406000000000006,96.638000000000005,98.51,97.858000000000004,100.336,103.047,100,99.263000000000005,101.753,106.628,103.10599999999999,104.765,110.17100000000001,112.456
Fabricated metal products,103.366,101.309,101.252,102.872,99.894000000000005,100.066,103.58799999999999,104.66,105.06100000000001,105.32899999999999,106.383,105.075,98.55,102.468,103.285,102.962,101.54900000000001,100.788,98.835999999999999,97.843999999999994,100,100.91800000000001,100.01600000000001,98.608999999999995,99.301000000000002,96.176000000000002,93.247,91.668000000000006
Machinery,94.231999999999999,96.233000000000004,93.956999999999994,94.25,92.671000000000006,93.399000000000001,95.552000000000007,99.194000000000003,101.98699999999999,103.69799999999999,105.00700000000001,105.407,100.22499999999999,105.22199999999999,108.542,107.71599999999999,106.685,104.67400000000001,100.04900000000001,97.441000000000003,100,101.39400000000001,100.374,98.131,102.57599999999999,99.171000000000006,97.674000000000007,97.522000000000006
Computer and electronic products,29.370999999999999,32.262999999999998,35.459000000000003,41.113,41.377000000000002,44.906999999999996,51.88,55.994,59.944000000000003,65.563999999999993,70.866,76.164000000000001,78.379000000000005,84.393000000000001,85.588999999999999,86.988,88.685000000000002,91.412000000000006,95.191000000000003,96.805999999999997,100,104.548,105.87,109.971,115.39400000000001,111.13500000000001,109.813,110.04300000000001
"Electrical equipment, appliances, and components",92.965999999999994,86.938999999999993,90.045000000000002,91.346000000000004,91.751999999999995,94.025000000000006,98.132999999999996,95.983000000000004,97.41,102.782,99.403000000000006,102.193,97.507999999999996,99.9,97.617000000000004,97.614000000000004,102.139,98.671000000000006,103.63200000000001,98.653999999999996,100,99.201999999999998,96.798000000000002,96.617999999999995,98.528999999999996,93.748999999999995,90.771000000000001,92.191000000000003
"Motor vehicles, bodies and trailers, and parts",85.662999999999997,87.772000000000006,87.545000000000002,87.933999999999997,87.332999999999998,90.484999999999999,93.498000000000005,93.683000000000007,95.608999999999995,98.466999999999999,98.441000000000003,94.774000000000001,85.373999999999995,95.66,100.15,100.166,100.514,100.419,99.3,99.581000000000003,100,99.994,99.932000000000002,98.549000000000007,101.155,104.374,102.812,103.021
Other transportation equipment,86.638000000000005,87.311000000000007,89.781000000000006,87.668000000000006,89.873999999999995,89.176000000000002,89.33,88.629000000000005,92.599000000000004,92.483999999999995,97.605000000000004,95.582999999999998,94.631,97.165000000000006,98.465000000000003,96.631,98.019000000000005,98.68,100.05500000000001,98.768000000000001,100,101.538,101.11499999999999,96.046000000000006,100.31,100.39700000000001,105.366,103.94199999999999
Furniture and related products,100.869,100.164,100.494,100.971,98.218000000000004,98.129000000000005,98.63,101.101,103.178,104.82599999999999,102.489,99.908000000000001,95.001999999999995,98.076999999999998,98.179000000000002,96.739000000000004,98.224999999999994,98.936999999999998,101.431,100.879,100,100.98,100.127,99.778999999999996,100.166,97.858000000000004,94.319000000000003,96.465999999999994
Miscellaneous manufacturing,86.162000000000006,87.603999999999999,89.003,90.313000000000002,88.494,91.141000000000005,93.05,94.082999999999998,96.182000000000002,98.563999999999993,99.004000000000005,101.36799999999999,103.902,107.172,104.81699999999999,103.328,100.995,100.372,96.623999999999995,98.402000000000001,100,101.98099999999999,97.948999999999998,100.242,104.13500000000001,101.65,100.822,100.867
