Quantity Index Labor Hours (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Farms,102.895,101.78400000000001,107.509,104.752,100.797,99.33,97.484999999999999,102.15600000000001,96.269000000000005,94.808999999999997,100.10299999999999,99.266000000000005,97.281000000000006,99.116,97.495000000000005,95.498999999999995,99.634,101.663,98.168000000000006,97.593000000000004,100,94.850999999999999,96.188999999999993,97.564999999999998,94.031999999999996,90.233999999999995,93.218000000000004,87.701999999999998
"Forestry, fishing, and related activities",80.129000000000005,82.855999999999995,87.194999999999993,86.347999999999999,81.09,77.825000000000003,77.918999999999997,76.376000000000005,76.811000000000007,93.355000000000004,96.626000000000005,95.751000000000005,84.418000000000006,92.007999999999996,90.945999999999998,91.667000000000002,95.122,96.524000000000001,104.61499999999999,103.633,100,108.64400000000001,113.044,102.062,101.295,112.19199999999999,113.789,108.45399999999999
Oil and gas extraction,104.798,100.77200000000001,94.24,84.14,81.855000000000004,76.495000000000005,76.484999999999999,85.76,84.343999999999994,92.685000000000002,96.727000000000004,109.271,105.42400000000001,106.068,125.15300000000001,142.982,144.857,143.465,131.55799999999999,116.15600000000001,100,99.614000000000004,103.95,87.167000000000002,77.128,83.804000000000002,86,89.698999999999998
"Mining, except oil and gas",136.74799999999999,130.52500000000001,129.38900000000001,120.176,118.59399999999999,107.846,106.616,111.50700000000001,117.727,124.441,125.934,124.587,111.51,110.276,119.93899999999999,121.655,115.51600000000001,118.93600000000001,111.19799999999999,102.142,100,105.504,109.914,95.141999999999996,96.415000000000006,101.182,101.679,104.73399999999999
Support activities for mining,64.123000000000005,60.918999999999997,52.43,55.906999999999996,64.251000000000005,55.204999999999998,56.912999999999997,64.33,74.385000000000005,88.155000000000001,100.538,107.64100000000001,88.441999999999993,97.033000000000001,116.17400000000001,128.751,133.76300000000001,151.09200000000001,121.76300000000001,87.745000000000005,100,117.584,116.547,78.314999999999998,79.332999999999998,91.581999999999994,96.712999999999994,89.757000000000005
Utilities,111.11499999999999,108.16,107.34399999999999,107.072,105.712,102.176,99.003,97.188999999999993,96.102000000000004,96.555000000000007,99.456000000000003,101.541,100.27200000000001,98.64,97.823999999999998,96.283000000000001,97.28,98.820999999999998,100.09099999999999,100.09099999999999,100,100.453,99.183999999999997,98.820999999999998,98.459000000000003,100.181,103.80800000000001,106.709
Construction,85.83,90.45,95.542000000000002,99.034000000000006,99.31,97.164000000000001,98.099000000000004,102.675,106.70699999999999,112.39700000000001,110.56699999999999,102.47,84.126999999999995,80.128,79.105000000000004,81.843000000000004,85.700999999999993,89.869,94.569000000000003,97.712000000000003,100,104.955,108.39100000000001,101.455,106.876,110.627,112.1,113.913
Wood products,152.52799999999999,156.77000000000001,159.98599999999999,155.886,144.09200000000001,136.05199999999999,133.65600000000001,136.22499999999999,138.43299999999999,135.50800000000001,125.41200000000001,111.508,85.697999999999993,84.546999999999997,84.582999999999998,85.337999999999994,89.378,92.388999999999996,95.087000000000003,98.331999999999994,100,102.069,106.258,96.108999999999995,101.998,104.916,104.166,102.72799999999999
Nonmetallic mineral products,123.83,124.53,126.11199999999999,127.36499999999999,125.881,119.244,113.084,117.76,115.806,120.334,118.363,110.117,89.941000000000003,85.870999999999995,85.921000000000006,88.484999999999999,89.869,92.542000000000002,95.263999999999996,96.91,100,99.650999999999996,101.294,94.403000000000006,94.228999999999999,99.04,100.21599999999999,99.503
Primary metals,174.255,171.369,168.173,167.791,149.797,133.31399999999999,124.80800000000001,124.044,124.48399999999999,125.096,119.873,117.125,90.263000000000005,97.143000000000001,106.85899999999999,109.92400000000001,107.80200000000001,108.515,107.286,100.387,100,104.52200000000001,106.663,91.870999999999995,92.819000000000003,96.572999999999993,97.727000000000004,95.242999999999995
Fabricated metal products,118.88,120.80800000000001,120.077,121.583,113.26,105.024,100.699,102.759,104.01600000000001,107.586,108.643,104.429,86.784999999999997,88.242999999999995,93.248999999999995,97.992000000000004,100.52,103.74,102.848,100.10899999999999,100,101.8,102.536,91.399000000000001,92.867000000000004,96.212999999999994,96.406999999999996,95.55
Machinery,138.78899999999999,138.05600000000001,133.506,131.88200000000001,121.066,106.824,100.14,103.071,104.001,106.604,107.642,107.836,90.391000000000005,90.921000000000006,98.138000000000005,101.43899999999999,101.55,104.843,103.04600000000001,98.56,100,102.166,103.101,92.756,95.087000000000003,100.76900000000001,100.139,98.075000000000003
