Production Account Quantity Index Value Added (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Farms,66.123000000000005,64.819999999999993,66.007000000000005,74.817999999999998,71.238,73.588999999999999,79.367000000000004,87.206000000000003,91.286000000000001,89.6,80.343999999999994,79.846999999999994,90.929000000000002,88.703999999999994,84.933999999999997,81.198999999999998,91.057000000000002,89.768000000000001,96.840999999999994,103.28,100,103.574,95.293000000000006,97.730999999999995,104.64,105.05,107.105,113.244
"Forestry, fishing, and related activities",65.903000000000006,67.33,70.543000000000006,72.956999999999994,81.396000000000001,81.97,85.852000000000004,84.762,83.131,97.103999999999999,90.608999999999995,90.049000000000007,86.69,85.272000000000006,84.683000000000007,90.17,88.14,90.498000000000005,96.483999999999995,99.018000000000001,100,104.96599999999999,107.38200000000001,113.404,110.669,110.01300000000001,118.301,122.652
Oil and gas extraction,62.933,64.52,57.847999999999999,42.368000000000002,50.182000000000002,58.552999999999997,46.220999999999997,45.563000000000002,44.616999999999997,51.006,55.4,52.079000000000001,71.165000000000006,55.59,55.442999999999998,68.777000000000001,71.275999999999996,79.168999999999997,106.501,111.355,100,92.822999999999993,118.512,131.26300000000001,103.68,86.882999999999996,140.07400000000001,148.84399999999999
"Mining, except oil and gas",119.941,140.631,150.124,147.279,142.625,130.892,134.50299999999999,129.989,131.41800000000001,135.149,139.33799999999999,128.399,119.97,124.08,124.581,110.76300000000001,112.27500000000001,108.343,98.897000000000006,94.986000000000004,100,96.850999999999999,97.759,107.637,106.65,99.222999999999999,101.694,97.789000000000001
Support activities for mining,28.391999999999999,26.7,25.838999999999999,35.179000000000002,52.972999999999999,40.941000000000003,44.456000000000003,51.488999999999997,62.393999999999998,91.313999999999993,103.974,116.318,87.084999999999994,98.325999999999993,122.727,128.40899999999999,138.626,166.85499999999999,112.517,67.635999999999996,100,143.654,131.364,86.828000000000003,111.36,144.38399999999999,158.91200000000001,157.89099999999999
Utilities,77.337999999999994,73.075999999999993,85.034000000000006,85.591999999999999,69.716999999999999,73.632000000000005,73.126999999999995,78.596999999999994,73.959000000000003,79.447000000000003,81.093999999999994,85.784999999999997,80.302000000000007,91.027000000000001,95.341999999999999,96.95,96.042000000000002,91.938000000000002,93.516999999999996,99.596000000000004,100,97.84,99.063999999999993,105.938,103.01900000000001,103.979,110.57,113.03
Construction,97.111999999999995,101.575,105.86,110.06,108.15900000000001,104.482,106.651,110.64700000000001,111.087,108.598,105.649,95.337999999999994,81.710999999999999,78.149000000000001,77.218999999999994,79.747,83.006,85.820999999999998,90.957999999999998,95.712000000000003,100,102.803,105.01300000000001,102.76,105.318,98.834000000000003,98.906999999999996,103.72199999999999
Wood products,87.733999999999995,88.929000000000002,87.41,88.915000000000006,85.89,86.613,86.936999999999998,85.037999999999997,93.04,91.69,97.09,90.950999999999993,77.14,82.882000000000005,91.965999999999994,93.846999999999994,95.876999999999995,86.513999999999996,94.126000000000005,98.605000000000004,100,94.869,98.396000000000001,103.979,98.337999999999994,93.893000000000001,107.949,107.369
Nonmetallic mineral products,100.673,100.072,101.93899999999999,101.87,99.823999999999998,98.334000000000003,102.129,109.56100000000001,112.09099999999999,104.937,105.34099999999999,99.358000000000004,79.837999999999994,82.289000000000001,86.311999999999998,91.245999999999995,96.522999999999996,96.628,96.566999999999993,94.62,100,99.643000000000001,103.66200000000001,101.072,104.861,100.464,89.093000000000004,84.909000000000006
Primary metals,69.147999999999996,74.491,79.754000000000005,80.957999999999998,76.915000000000006,78.727000000000004,76.304000000000002,81.917000000000002,74.947000000000003,68.075000000000003,67.486999999999995,70.481999999999999,67.007999999999996,68.266000000000005,75.861000000000004,89.528999999999996,96.873999999999995,95.268000000000001,104.82599999999999,111.182,100,100.345,111.98,124.259,109.529,118.785,144.30600000000001,154.40100000000001
Fabricated metal products,109.309,106.535,107.099,113.72199999999999,101.395,97.049000000000007,101.54,105.908,107.869,111.67400000000001,116.33799999999999,110.875,83.661000000000001,92.483000000000004,98.213999999999999,101.764,101.16,102.369,97.893000000000001,94.409000000000006,100,104.125,103.114,93.332999999999998,96.391000000000005,91.239000000000004,84.923000000000002,81.441999999999993
Machinery,91.766999999999996,98.992000000000004,93.652000000000001,96.093999999999994,86.966999999999999,81.209000000000003,81.16,91.05,98.066000000000003,104.417,109.315,111.72799999999999,88.956000000000003,100.676,115.58,117.19199999999999,116.136,114.074,101.39,92.41,100,105.917,104.47,93.950999999999993,106.38,102.351,99.176000000000002,98.451999999999998
Computer and electronic products,8.8239999999999998,11.582000000000001,14.747999999999999,22.295999999999999,22.103999999999999,24.802,32.340000000000003,37.752000000000002,43.186,51.67,59.72,68.795000000000002,69.828999999999994,77.606999999999999,80.138000000000005,82.453999999999994,84.016999999999996,87.486000000000004,93.356999999999999,95.784000000000006,100,106.348,109.851,112.142,120.73699999999999,117.58,115.789,115.434
"Electrical equipment, appliances, and components",97.665999999999997,82.04,90.293999999999997,94.287999999999997,90.153999999999996,90.114999999999995,97.367999999999995,90.944000000000003,91.506,104.886,98.57,105.48099999999999,88.177000000000007,91.09,87.819000000000003,90.207999999999998,99.003,92.051000000000002,104.217,95.881,100,99.730999999999995,96.058000000000007,91.856999999999999,98.141000000000005,89.427999999999997,84.781999999999996,87.772999999999996
"Motor vehicles, bodies and trailers, and parts",53.798000000000002,59.844999999999999,63.68,65.494,59.616,67.322999999999993,73.721000000000004,76.099999999999994,80.575000000000003,89.649000000000001,86.426000000000002,66.891000000000005,29.814,60.869,77.210999999999999,81.872,87.045000000000002,90.936999999999998,90.873000000000005,95.835999999999999,100,104.137,105.1,93.239000000000004,110.134,132.50399999999999,126.85899999999999,127.67400000000001
Other transportation equipment,67.394999999999996,71.263999999999996,76.367000000000004,70.215999999999994,72.007999999999996,67.129000000000005,63.625,65.084000000000003,74.844999999999999,78.091999999999999,91.673000000000002,90.819000000000003,87.876000000000005,90.528999999999996,94.350999999999999,92.454999999999998,95.055000000000007,96.427999999999997,99.899000000000001,97.721000000000004,100,105.34099999999999,107.65300000000001,92.608000000000004,100.7,103.532,117.057,117.06399999999999
Furniture and related products,131.76599999999999,134.17400000000001,140.78800000000001,146.364,132.03800000000001,129.16900000000001,126.729,135.68,142.83000000000001,144.64099999999999,132.41300000000001,112.76,82.27,82.994,84.034999999999997,82.423000000000002,88.783000000000001,93.686999999999998,100.07899999999999,100.696,100,104.84399999999999,100.58199999999999,94.745999999999995,99.691999999999993,96.171999999999997,82.641999999999996,81.823999999999998
Miscellaneous manufacturing,64.355999999999995,66.518000000000001,68.953999999999994,71.991,68.257999999999996,71.358999999999995,73.171000000000006,77.382999999999996,81.629000000000005,87.436999999999998,89.177999999999997,95.138999999999996,96.936999999999998,101.131,98.334999999999994,97.974000000000004,95.113,96.143000000000001,91.763999999999996,96.367000000000004,100,106.084,102.649,101.36499999999999,112.69199999999999,111.774,111.931,112.506
Food and beverage and tobacco products,86.05,84.347999999999999,85.275000000000006,83.445999999999998,85.066000000000003,79.894999999999996,83.707999999999998,85.763999999999996,84.984999999999999,95.055000000000007,97.323999999999998,91.956000000000003,95.27,90.62,87.736999999999995,85.997,91.144999999999996,92.405000000000001,96.608000000000004,93.363,100,99.533000000000001,96.765000000000001,98.316999999999993,104.80200000000001,108.535,107.404,108.15300000000001
Textile mills and textile product mills,152.60300000000001,150.791,158.19800000000001,165.72,146.86500000000001,142.898,119.316,147.21,139.93,133.96600000000001,129.82499999999999,121.589,93.807000000000002,94.799000000000007,84.736999999999995,93.192999999999998,99.63,103.967,101.063,102.018,100,94.679000000000002,92.811999999999998,86.558000000000007,92.965999999999994,84.542000000000002,77.59,77.402000000000001
Apparel and leather and allied products,241.94300000000001,219.327,205.53299999999999,209.518,188.839,177.93899999999999,156.71700000000001,152.465,149.00200000000001,141.34200000000001,131.43299999999999,129.55500000000001,106.423,116.542,113.52500000000001,110.994,111.616,106.693,102.40600000000001,102.11199999999999,100,99.257999999999996,103.258,102.685,119.408,124.06100000000001,119.7,121.254
Paper products,146.892,137.52099999999999,145.13900000000001,136.75399999999999,119.307,122.407,120.55800000000001,128.767,125.262,133.22300000000001,125.88200000000001,112.099,117.536,109.84,105.239,104.63800000000001,107.413,109.04300000000001,111.20699999999999,108.413,100,106.434,112.16200000000001,121.2,115.169,103.57899999999999,100.53400000000001,101.624
Printing and related support activities,87.965000000000003,89.1,90.445999999999998,94.200999999999993,95.108000000000004,99.552000000000007,100.79,103.265,104.72799999999999,106.52200000000001,108.98,106.691,93.054000000000002,94.63,95.29,95.655000000000001,98.400999999999996,98.712000000000003,98.915999999999997,100.857,100,103.36799999999999,100.16,86.644000000000005,92.575000000000003,82.215999999999994,73.388999999999996,70.566000000000003
Petroleum and coal products,83.831999999999994,91.525000000000006,86.935000000000002,87.653000000000006,105.63500000000001,91.363,130.94499999999999,149.631,148.828,129.922,133.12899999999999,144.303,133.535,113.907,96.353999999999999,88.373999999999995,96.162999999999997,103.501,101.53,87.165000000000006,100,104.91800000000001,120.248,80.034999999999997,105.45099999999999,95.748999999999995,106.248,127.389
