Production Account Value Added (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Farms,94491,90550,90232,96617,99015,85836,106584,131992,127231,111769,128473,129112,112822,127559,159959,157511,193387,175154,155455,141690,148848,149271,143738,159187,202994,260898,228182,222866
"Forestry, fishing, and related activities",20181,20462,21367,21939,21418,21332,22514,23302,23526,28481,27902,26998,26469,28174,28056,30069,30688,32860,35429,36820,37621,39652,40969,43359,44209,45806,51292,52928
Oil and gas extraction,51087,36087,41269,63745,71466,66404,88133,106998,148220,169813,195059,253092,165234,179691,205715,210886,236706,254680,143436,124688,152768,176714,161570,96233,209999,304474,242043,235439
"Mining, except oil and gas",24964,27572,27914,26974,26308,25863,27493,31733,40515,49312,55330,58338,59216,66686,72910,63331,57549,53349,45420,42574,49887,49352,50265,55163,64535,69862,75482,76669
Support activities for mining,13456,13577,11100,13777,19678,15156,16796,19840,26694,42490,49990,59235,41211,47422,61798,68321,74676,91878,62499,36027,53711,71518,67866,41341,42692,62180,71819,70569
Utilities,154499,146480,162065,161581,168058,157044,162117,176639,173551,199532,203472,212402,228636,249178,257686,249756,256743,268383,270950,273997,284379,289983,300760,315001,360944,405821,419714,414860
Construction,338921,379099,416985,460423,485527,492663,524309,583591,650387,695665,714284,647858,564266,524645,524414,553670,593353,648447,713701,775065,838364,887065,950776,956499,1009656,1109590,1221611,1302392
Wood products,26709,27425,29282,28209,27138,27170,28619,32470,34585,31543,28966,25522,21126,23243,23600,25734,30115,30230,31363,33566,35568,36791,36687,42858,59746,64433,62073,59968
Nonmetallic mineral products,39697,40768,43160,42528,41202,41720,41923,45182,48713,50379,50157,44660,38751,38309,38839,42614,46708,48524,52880,54923,58351,59254,62882,63686,67707,71373,75427,77315
Primary metals,47974,48859,46090,46928,40174,41587,39176,54878,56120,62560,64434,68733,41011,50837,62544,65651,62569,64376,60381,57221,59640,67644,67286,56133,73670,84955,83012,76308
Fabricated metal products,109827,111510,115847,121073,110720,105911,108300,114457,122169,126558,134713,132809,117298,119935,127031,137719,140086,141431,143759,141438,144142,151223,157927,147770,147605,174229,187071,188837
Machinery,102108,113655,110965,112928,105215,98801,97264,104000,114210,121709,129404,131518,118375,127181,144661,152772,157018,158064,148723,139142,147412,154607,160714,149830,157895,174963,197927,208289
Computer and electronic products,195104,191503,186439,225047,173225,172663,193243,201239,210901,223780,228144,229458,218252,228414,226975,227609,227189,230637,241520,240308,248364,259548,265853,272243,288295,289449,293144,299147
"Electrical equipment, appliances, and components",46800,40512,44523,45597,44206,43631,45485,41999,43143,51349,50213,55545,50892,51634,49377,52901,57802,53553,61569,56146,57780,59888,60246,57874,61339,69799,75950,80595
"Motor vehicles, bodies and trailers, and parts",111847,123684,134601,137320,124768,135056,142949,138896,135761,133828,124861,90123,47708,88698,104337,115615,123138,132807,146483,155669,158910,160874,161492,142514,143023,166217,182401,185456
Other transportation equipment,62491,66779,73780,71051,76811,72910,72507,75790,89643,96179,114184,114514,117298,120697,127117,126817,133133,138617,147925,146712,150811,159243,165471,144756,153187,160555,190646,197149
Furniture and related products,27896,29628,31626,33483,31167,31211,30353,30948,33651,34489,32475,27820,22783,21820,21954,22392,23861,25359,28411,29247,28855,29903,30338,29466,30072,33617,33619,34391
Miscellaneous manufacturing,52128,55166,57549,59086,57379,60922,62049,63737,66142,70326,72149,75425,81251,83105,80348,81323,78407,78776,77775,83818,86379,91338,91057,91853,97864,100364,108271,113421
Food and beverage and tobacco products,123008,128027,149882,149758,160511,161446,164095,160773,162550,177666,177938,183310,213273,197396,184366,194341,205034,217247,242885,247252,252004,248100,251145,271840,284377,278824,327621,345764
Textile mills and textile product mills,27359,28047,28459,27959,24844,23990,18679,22118,20634,20048,19261,17810,15093,15531,15046,15945,16668,17638,17687,18188,17296,16580,16688,15782,16993,16733,16239,16317
Apparel and leather and allied products,25143,23407,22388,22135,19443,18123,15472,14565,13821,12845,11834,11560,9858,10377,10119,9995,10221,9917,9699,9624,9434,9303,9604,9412,10987,11631,11698,12434
Paper products,55278,55766,59318,62079,53397,54021,50925,52634,51567,57868,55630,51290,59128,56279,53734,53055,56486,56894,59873,58664,55778,60127,62593,64967,64500,69978,73546,74285
Printing and related support activities,37381,39627,42113,43619,42659,42079,42131,42693,44405,46760,47648,45144,39586,39406,38736,38392,39031,39109,40303,41114,40552,41425,41455,36403,38897,40767,40938,41235
Petroleum and coal products,47394,50006,45124,52554,68200,50606,81117,104042,140857,139727,154493,154480,110458,123702,158663,158992,146090,147410,130977,75151,110179,153777,142905,61089,147304,230410,217240,194338
Chemical products,172847,180422,188187,187309,193287,207389,210138,226265,222457,253144,267378,264876,287526,302804,302739,301537,314811,319418,319105,338657,339978,391037,370709,390884,460540,504974,510138,548814
Plastics and rubber products,57315,61520,65720,65264,63342,62847,62514,63571,62808,63787,63241,55748,60403,61832,62700,67558,68520,66443,77158,78539,76787,80279,84109,79705,82519,94527,101256,100417
Wholesale trade,411498,442008,458636,493899,486105,484217,506873,553359,600318,647658,693645,721008,684497,727916,760534,816202,851874,895484,949853,942104,965437,988041,1029960,1058458,1123888,1281227,1356549,1396294
Retail trade,476666,517928,536352,562131,587210,608716,638131,655165,688628,708178,706634,691481,685849,704305,715502,747882,794267,823981,885139,932073,968627,1004358,1046165,1096593,1256879,1351106,1483087,1542036
Air transportation,47959,46625,48641,47972,44894,41586,46350,48413,48961,55850,59366,55166,58019,71788,71244,74095,77362,83597,95603,104425,106983,107798,115580,53821,79113,119097,140486,145924
Rail transportation,20852,22813,23342,24118,24015,22887,24489,26476,29368,33328,33461,38372,34473,35813,38094,40801,42707,46179,47220,43389,45810,48418,47564,45055,49617,52598,55910,56709
Water transportation,6542,6410,6501,7969,8337,7363,8447,9383,9213,13223,14598,16531,15969,14762,14150,13528,16738,16701,16503,14295,13780,15433,15225,12683,19629,21015,22737,23970
