"File notes: These data underlie a joint effort by the Bureau of Economic Analysis and the Bureau of Labor Statistics to produce a total economy production account resulting in the paper ""Eldridge, Lucy P., Corby Garner, Thomas F. Howells, Brian C. Moyer, Matthew Russell, Jon D. Samuels, Erich H. Strassner, and David B. Wasshausen. ""Toward a BEA-BLS integrated industry-level production account for 1947–2016."" In Measuring Economic Growth and Productivity, pp. 221-249. Academic Press, 2020.""",,,,,,,,,,,
,,"These data are experimental in nature and their quality is significantly less than the current version of the data included in the official BEA-BLS  Integrated Industry Level Production Account due to the many assumptions that were needed to conduct research on the long time series. See the paper for details on the data construction.  These data pulled as of October 26, 2020.",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Variable,Variable Description,,1947-1963,,,1963-2016,,,,,
yr,year,,indnum,Industry Description,,indnum,Industry Description,,,,
indnum*,industry,,1,Farms,,1,Farms,,,,
go.,nominal gross output,,2,"Forestry, fishing, and related activities",,2,"Forestry, fishing, and related activities",,,,
ii.,nominal intermediate input,,3,Oil and gas extraction,,3,Oil and gas extraction,,,,
vkit.,nominal IT equipment capital,,4,"Mining, except oil and gas",,4,"Mining, except oil and gas",,,,
vksoft.,nominal software capital,,5,Support activities for mining,,5,Support activities for mining,,,,
vkRD.,nominal R&D capital,,6,Utilities,,6,Utilities,,,,
vkart.,nominal entertainment originals capital,,7,Construction,,7,Construction,,,,
vkoth.,nominal other capital,,8,Wood products,,8,Wood products,,,,
vlcol.,nominal college labor input,,9,Nonmetallic mineral products,,9,Nonmetallic mineral products,,,,
vln.,nominal non-college labor input,,10,Primary metals,,10,Primary metals,,,,
goqi.,gross output quantity index,,11,Fabricated metal products,,11,Fabricated metal products,,,,
iiqi.,intermediate input quantity index,,12,Machinery,,12,Machinery,,,,
qkit.,quantity index IT equipment capital,,13,Computer and electronic products,,13,Computer and electronic products,,,,
qks.,quantity index software capital,,14,"Electrical equipment, appliances, and components",,14,"Electrical equipment, appliances, and components",,,,
qkrd.,quantity index R&D capital,,15,"Motor vehicles, bodies and trailers, and parts",,15,"Motor vehicles, bodies and trailers, and parts",,,,
qka.,quantity index entertainment originals capital,,16,Other transportation equipment,,16,Other transportation equipment,,,,
qko.,quantity index other capital,,17,Furniture and related products,,17,Furniture and related products,,,,
qlindexcol_merge.,quantity index college labor input,,18,Miscellaneous manufacturing,,18,Miscellaneous manufacturing,,,,
qlindexn_merge.,quantity index non-college labor input,,19,Food and beverage and tobacco products,,19,Food and beverage and tobacco products,,,,
hrs,total hours,,20,Textile mills and textile product mills,,20,Textile mills and textile product mills,,,,
,,,21,Apparel and leather and allied products,,21,Apparel and leather and allied products,,,,
,,,22,Paper products,,22,Paper products,,,,
,,,23,Printing and related support activities,,23,Printing and related support activities,,,,
,,,24,Petroleum and coal products,,24,Petroleum and coal products,,,,
,,,25,Chemical products,,25,Chemical products,,,,
,,,26,Plastics and rubber products,,26,Plastics and rubber products,,,,
,,,27,Wholesale trade,,27,Wholesale trade,,,,
,,,28,Retail trade,,28,Retail trade,,,,
,,,2936,Transportation and warehousing,,29,Air transportation,,,,
,,,3740,Information,,30,Rail transportation,,,,
,,,4144,Finance and insurance,,31,Water transportation,,,,
,,,45,Real estate,,32,Truck transportation,,,,
,,,46,Rental and leasing services and lessors of intangible assets,,33,Transit and ground passenger transportation,,,,
,,,4749,"Professional, scientific, and technical services",,34,Pipeline transportation,,,,
,,,50,Management of companies and enterprises,,35,Other transportation and support activities,,,,
,,,5152,Administrative and waste management services,,36,Warehousing and storage,,,,
,,,53,Educational services,,37,"Publishing industries, except internet (includes software)",,,,
,,,5456,Health care and social assistance,,38,Motion picture and sound recording industries,,,,
,,,5758,"Arts, entertainment, and recreation",,39,Broadcasting and telecommunications,,,,
,,,59,Accommodation,,40,"Data processing, internet publishing, and other information services",,,,
,,,60,Food services and drinking places,,41,"Federal Reserve banks, credit intermediation, and related activities",,,,
,,,61,"Other services, except government",,42,"Securities, commodity contracts, and investments",,,,
,,,62,Federal,,43,Insurance carriers and related activities,,,,
,,,63,State and local,,44,"Funds, trusts, and other financial vehicles",,,,
,,,,,,45,Real estate,,,,
,,,,,,46,Rental and leasing services and lessors of intangible assets,,,,
,,,,,,47,Legal services,,,,
,,,,,,48,Computer systems design and related services,,,,
,,,,,,49,"Miscellaneous professional, scientific, and technical services",,,,
,,,,,,50,Management of companies and enterprises,,,,
,,,,,,51,Administrative and support services,,,,
,,,,,,52,Waste management and remediation services,,,,
,,,,,,53,Educational services,,,,
,,,,,,54,Ambulatory health care services,,,,
,,,,,,55,Hospitals and Nursing and residential care,,,,
,,,,,,56,Social assistance,,,,
,,,,,,57,"Performing arts, spectator sports, museums, and related activities",,,,
,,,,,,58,"Amusements, gambling, and recreation industries",,,,
,,,,,,59,Accommodation,,,,
,,,,,,60,Food services and drinking places,,,,
,,,,,,61,"Other services, except government",,,,
,,,,,,62,Federal,,,,
,,,,,,63,State and local,,,,
