year,utility_applications,source_note
1973,100900.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1974,103479.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1978,100473.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1979,99516.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1980,104219.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1981,106828.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1982,116052.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1983,96847.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1984,109010.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1985,115893.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1986,120988.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1987,125677.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1988,136253.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1991,166765.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1992,171623.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1993,173619.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1994,185087.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1995,220141.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1996,189922.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1997,219486.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1998,238850.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
1999,259618.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2000,291653.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2001,324211.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2002,331580.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2003,331729.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2004,353319.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2005,381797.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2006,417453.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2007,439578.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2008,466258.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2009,458901.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2010,479332.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2011,504663.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2012,530915.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2013,564007.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2014,579873.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2015,578121.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2016,607753.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2017,604298.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2018,599174.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2019,621272.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2020,603669.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2021,593294.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2022,589572.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2023,594645.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year."
2024,598982.0,"USPTO FY2024 Workload Tables, Table 2 (Patents), fiscal year; FY2024 preliminary."
