Dataset,Table,Line,Label,Unit,Year,Value
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1929,7314.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1930,6726.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1931,6064.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1932,4763.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1933,4911.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1934,5000.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1935,5346.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1936,5694.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1937,6145.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1938,5626.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1939,5797.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1940,6207.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1941,8774.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1942,7259.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1943,8370.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1944,8004.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1945,9167.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1946,10727.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1947,12663.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1948,15359.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1949,16640.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1950,18827.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1951,22720.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1952,23404.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1953,24294.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1954,26467.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1955,28339.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1956,31968.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1957,32393.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1958,35315.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1959,34880.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1960,37332.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1961,38138.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1962,39151.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1963,41010.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1964,43407.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1965,45803.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1966,49022.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1967,52840.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1968,58534.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1969,64330.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1970,69344.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1971,75271.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1972,80973.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1973,88953.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1974,99552.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1975,111165.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1976,122813.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1977,137000.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1978,154403.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1979,172590.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1980,192685.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1981,207859.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1982,214501.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1983,219431.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1984,236745.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1985,261373.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1986,287957.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1987,314462.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1988,337874.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1989,363607.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1990,387059.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1991,407036.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1992,420034.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1993,442540.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1994,466805.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1995,491592.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1996,512024.0
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,1997,530862.0
