Dataset,Table,Line,Label,Unit,Year,Value
NIPA,T11000,01,Gross domestic income,Millions of dollars,1929,103822.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1930,92606.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1931,76653.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1932,59248.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1933,56636.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1934,66428.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1935,74471.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1936,83648.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1937,93048.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1938,86671.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1939,92148.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1940,101834.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1941,128991.00000000001
NIPA,T11000,01,Gross domestic income,Millions of dollars,1942,166859.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1943,204909.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1944,221915.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1945,224176.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1946,226303.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1947,246753.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1948,274719.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1949,270731.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1950,298565.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1951,343468.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1952,364737.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1953,385426.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1954,387641.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1955,423348.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1956,451386.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1957,474395.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1958,480584.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1959,521453.99999999994
NIPA,T11000,01,Gross domestic income,Millions of dollars,1960,543690.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1961,563124.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1962,603951.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1963,638918.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1964,684510.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1965,741547.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1966,808333.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1967,856600.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1968,937518.0
NIPA,T11000,01,Gross domestic income,Millions of dollars,1969,1.016032e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1970,1.067965e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1971,1.155333e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1972,1.271943e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1973,1.419232e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1974,1.537793e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1975,1.671561e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1976,1.852757e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1977,2.0623780000000002e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1978,2.328274e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1979,2.582331e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1980,2.813037e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1981,3.169341e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1982,3.335141e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1983,3.577187e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1984,3.99619e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1985,4.284907e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1986,4.499783e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1987,4.81161e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1988,5.233615e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1989,5.573751e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1990,5.867789e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1991,6.065418e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1992,6.404817e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1993,6.703129e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1994,7.14799e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1995,7.547593e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1996,8.016095e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1997,8.567298e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1998,9.119217e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,1999,9.660488e6
NIPA,T11000,01,Gross domestic income,Millions of dollars,2000,1.0346717e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2001,1.0698659e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2002,1.1010778e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2003,1.1480643e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2004,1.2245295e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2005,1.3096193e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2006,1.4025375e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2007,1.4461933e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2008,1.4578667e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2009,1.4286347e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2010,1.4979526e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2011,1.5624026e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2012,1.6407611e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2013,1.6910471e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2014,1.7749078e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2015,1.8387992e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2016,1.8752004e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2017,1.95442e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2018,2.0593076e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2019,2.1482943e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2020,2.1254695e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2021,2.3687817e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2022,2.6055012e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2023,2.7485663e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2024,2.9001715e7
NIPA,T11000,01,Gross domestic income,Millions of dollars,2025,3.0532476e7
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1929,51407.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1930,47166.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1931,40070.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1932,31338.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1933,29786.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1934,34552.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1935,37666.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1936,43288.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1937,48309.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1938,45411.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1939,48551.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1940,52746.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1941,66181.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1942,88026.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1943,112714.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1944,124372.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1945,126368.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1946,122525.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1947,132292.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1948,144227.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1949,144276.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1950,158191.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1951,185691.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1952,201086.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1953,215252.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1954,214196.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1955,230641.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1956,249357.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1957,262654.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1958,264742.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1959,285910.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1960,301438.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1961,310566.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1962,332297.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1963,350471.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1964,376029.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1965,405410.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1966,449225.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1967,481760.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1968,530739.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1969,584436.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1970,623324.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1971,664974.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1972,731334.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1973,812696.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1974,887737.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1975,947273.0
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1976,1.048384e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1977,1.165887e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1978,1.316864e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1979,1.477302e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1980,1.622345e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1981,1.792681e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1982,1.893175e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1983,2.012662e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1984,2.216083e6
NIPA,T11000,02,"Compensation of employees, paid",Millions of dollars,1985,2.387539e6
