Dataset,Table,Line,Label,Unit,Year,Value
NIPA,T10105,01,Gross domestic product,Millions of dollars,1929,104556.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1930,92160.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1931,77391.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1932,59522.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1933,57154.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1934,66800.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1935,74241.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1936,84830.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1937,93003.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1938,87352.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1939,93437.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1940,102899.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1941,129309.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1942,165952.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1943,203084.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1944,224447.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1945,228007.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1946,227535.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1947,249616.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1948,274468.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1949,272475.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1950,299827.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1951,346914.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1952,367341.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1953,389218.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1954,390549.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1955,425478.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1956,449353.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1957,474039.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1958,481229.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1959,521654.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1960,542382.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1961,562209.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1962,603922.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1963,637450.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1964,684460.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1965,742289.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1966,813414.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1967,859959.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1968,940651.0
NIPA,T10105,01,Gross domestic product,Millions of dollars,1969,1.017615e6
